HomeTeam,AwayTeam,Home_curr_pos,Away_curr_pos,Home_W/MP,Away_W/MP,Home_D/MP,Away_D/MP,Home_L/MP,Away_L/MP,HSoT/90,ASoT/90,HAS,AAS,HDS,ADS,past_h2h,past_h2h1,past_h2h2,past_h2h3,home_past_form1,away_past_form1,home_past_form2,away_past_form2,home_past_form3,away_past_form3,home_past_form4,away_past_form4,home_past_form5,away_past_form5,B365H,B365D,B365A
Brentford,Liverpool,9.0,6.0,0.29411764705882354,0.5,0.47058823529411764,0.25,0.23529411764705882,0.25,4.411764705882353,6.375,1.1111111111111112,1.1967090501121913,0.9424083769633507,0.8465608465608466,0.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,5.5,4.33,1.55
Arsenal,Newcastle,1.0,3.0,0.8666666666666667,0.5625,0.06666666666666667,0.375,0.06666666666666667,0.0625,5.733333333333333,5.25,1.8624338624338623,1.5706806282722512,0.957367240089753,0.4444444444444444,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.8,3.8,4.33
Everton,Brighton,16.0,7.0,0.1875,0.4666666666666667,0.3125,0.2,0.5,0.3333333333333333,3.625,5.4,0.5185185185185185,1.5706806282722512,0.8376963350785339,1.037037037037037,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.5,3.5,2.1
Leicester,Fulham,13.0,10.0,0.29411764705882354,0.375,0.11764705882352941,0.25,0.5882352941176471,0.375,4.176470588235294,4.8125,0.6666666666666666,1.3612565445026177,0.9424083769633507,0.9629629629629629,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.2,3.6,3.1
Man United,Bournemouth,4.0,14.0,0.625,0.23529411764705882,0.125,0.23529411764705882,0.25,0.5294117647058824,5.375,3.3529411764705883,1.0158730158730158,0.9424083769633507,0.4786836200448765,1.9259259259259258,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.29,5.5,11.0
Southampton,Nott'm Forest,20.0,19.0,0.1875,0.1875,0.1875,0.25,0.625,0.5625,3.8125,3.0,0.6666666666666666,0.10471204188481674,1.5706806282722512,1.6296296296296295,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,3.5,3.8
Leeds,West Ham,15.0,17.0,0.26666666666666666,0.23529411764705882,0.2,0.11764705882352941,0.5333333333333333,0.6470588235294118,4.0,4.0,0.9629629629629629,0.41884816753926696,1.256544502617801,0.7407407407407407,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.6,3.5,2.6
Aston Villa,Wolves,12.0,18.0,0.3125,0.17647058823529413,0.1875,0.23529411764705882,0.5,0.5882352941176471,4.125,3.2941176470588234,0.8888888888888888,0.5235602094240838,0.9424083769633507,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.95,3.6,4.0
Crystal Palace,Tottenham,11.0,5.0,0.375,0.5625,0.25,0.1875,0.375,0.25,3.6875,6.0625,0.7407407407407407,1.256544502617801,1.1518324607329842,0.8888888888888888,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,3.4,3.5,2.15
Chelsea,Man City,8.0,2.0,0.4666666666666667,0.7333333333333333,0.2,0.13333333333333333,0.3333333333333333,0.13333333333333333,3.8666666666666667,6.466666666666667,1.0158730158730158,1.5557217651458488,0.7180254300673148,0.5079365079365079,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,5.0,4.0,1.67
